ジャンル,問題文,回答
金,年に何度もある聖母マリアの祭日にその花がいつも咲いておりそれを「聖母マリアの黄金の花」と呼んだことが名前の由来とされる「あいみょん」の楽曲の名前にもなっている花は何でしょう,マリーゴールド
H,ビルの屋上などにある、丸にHとついているマークの意味は何でしょう？,ヘリポート
国語,"科学の世界では「有害な化学物質を摂取してしまうこと」、
一般には「悪事や秘密をあばくこと」を指す漢字2字の言葉は何でしょう？",暴露・曝露
H,『ドラゴンクエスト』などのロールプレイングゲームにおいて、キャラクターの体力を表す「HP」とは、何の略でしょう？,ヒットポイント
H,第二次世界大戦後、日本の大部分を占領した連合国軍の組織をアルファベット3文字で何というでしょう？,GHQ
H,"これまでに『パプリカ』『山口さんちのツトム君』『だんご3兄弟』などの
ヒット曲を生んでいる NHK のテレビ番組は何でしょう",みんなのうた
ZAクイズ,アフロダイAやボスボロットなども登場する「巨大ロボットアニメ」としては最初の作品のタイトルにもなっており主題歌を水木一郎がうたっていることでもおなじみの作品といえばなんでしょう？,マジンガーZ
数学,"等間隔に引かれた直線に針を落としていき、
直線と交差する確率を調べることで円周率を近似することができる、
フランスの数学者が提唱した実験は何でしょう？",ビュフォンの針
ZAクイズ,アルファベット3文字では「EEZ」と略される　ある国が独占的に経済行為を行うことができる海域のことを何と言うでしょう？,排他的経済水域
ZAクイズ,2020年に日韓合同オーディションプロジェクトを経て結成された　サビの「縄跳びダンス」と呼ばれる振り付けが話題となった「Make you happy」などの代表曲があるグローバル・ガールズグループは何でしょう？,NiziU
金,金融機関に預けられている「銀行預金」に対して自宅で保管されている現金のことをある家具の名前を使って「何預金」というでしょう?,たんす預金
ZAクイズ改変,ちびまる子ちゃんのオープニングで使われている「おどるぽんぽこりん」　2025年12月から現在まで歌っているアーティストは誰でしょう？,Ado
H,面積の単位の一つであり、1万平方メートルを ha と表記して何というでしょう？,ヘクタール
H,縦横比は 16:9 で、解像度は 1920×1080 ピクセル である、画面や映像を構成する画素数を表す規格は何でしょう？,フルHD
H,スポーツ新聞上などでは HR と略されることの多い、野球において打者が打った打球によって打者自身が本塁まで帰ってくることを英語で何というでしょう？,ホームラン
アプリ,"いずれもマッチングアプリの「カドル」「ヒールメイト」「マリーゴー」といえば、
どんな特徴をもったアプリでしょう？",既婚者向け
金,英語ではテレスコープ・アイと呼ばれている目が大きくとび出しているのが特徴の金魚の一種は何でしょう？,デメキン（出目金）
H,「DHA」と略される酸はドコサヘキサエン酸ですが、「DNA」と略される核酸は何でしょう？,デオキシリボ核酸
医療,"福島の民芸品の赤べこの体にある黒い水玉模様がその名残りとして知られる、
かつて世界中で猛威をふるったものの、人類によって根絶された感染症は何でしょう？",天然痘
金,主に恐怖や苦痛を感じた時に女性が出す鋭く甲高い叫び声をなんと俗になんというでしょう？,金切り声
金,人間の体に最も多く含まれている重金属は何でしょう？,鉄
ZAクイズ,体内で欠乏すると味覚障害が起きる　原子番号30　元素記号Znの物質は何でしょう？,亜鉛
H,ウェブサイトのコンテンツの構造を作るために使うマークアップ言語のひとつで正式名称の HyperText Markup Language をアルファベット4文字に略して何と言うでしょう？,HTML
ZAクイズ,成人男性特有の進行性の脱毛症で生え際や頭頂部の毛髪が薄くなったりするのが特徴である男性型脱毛症をアルファベット３文字でなんというでしょう？,AGA
ZAクイズ,英語で「ショットガンマリッジ(shotgun marriage)」と言えば　日本では俗に何と言われているでしょう？,できちゃった婚
ZAクイズ,アメリカでは彼の栄誉を称え1月の第３月曜日が祝日となっている「I have a dream」で始まる演説で知られる黒人解放運動の指導者は誰でしょう？,キング牧師
H,「His Master's Voice」という言葉を略してつけられた、日本でもおなじみのイギリス生まれのレコードチェーンは何でしょう？,HMV
技術,"開発担当者が休憩中に囲碁をして遊んでいたことが誕生のきっかけになったという、
今では決済サービスをはじめ多くの場面で使われている2次元コードの一種は何でしょう？",QRコード
化学,"ボリビアのウユニ塩湖に地球の埋蔵量の半分があると目されている、
金属元素の中で最も軽い元素は何でしょう？",リチウム
ZAクイズ,野球の打率のことを「AV」と表記することがありますが　これは何という英単語を略したものでしょう？,アベレージ
ZAクイズ,「AならばBである」という命題にたいして「BでないならばAでない」という命題を何と言うでしょう？,対偶
ZAクイズ,「Hatch」「Zoff」「JINS」といえば　何で有名なブランドでしょう？,メガネ
国語,"「ゲロを吐く」「乾物に水を吸わせる」「もともとあった場所に返す」
という意味で使われる日本語の動詞は何でしょう？",もどす
H,東京都の難関私立大学群を指す「MARCH」でH を指す大学は何でしょう？,法政大学
ZAクイズ,社団法人「日本音楽著作権協会」のことをアルファベット６文字で何というでしょう？,JASRAC
ZAクイズ,1990年代後半から2010年代初頭に生まれ　物心ついたときからスマートフォンやSNSに慣れ親しんでいる世代を何と呼ぶ？,Z世代
ZAクイズ,アルファベット2文字で「DZ」と表されることもある１２を１とする単位といえばなんでしょう？,ダース
金,語源はポルトガル語で「コンフェイト」と言われている砂糖と下味のついた水分を原料にした表面に凹凸状の突起（角状）をもつ小さな球の形の和菓子はなんでしょう,金平糖
H,同志社大学の学生プロレス出身であり、一時期はハード●イの芸風で一世を風靡したHG と RG で組まれたお笑いコンビといえばなんでしょう？,レイザーラモン
化学,"「むえんバター」といえば食塩を加えていないバターのことですが、
「むえんガソリン」といえば何という物質を含まないガソリンのことでしょう？",鉛
金,金婚式の25年前に行われるのは銀婚式ですが銀婚式の25年前に行われるのは何婚式でしょう？,結婚式
映画,"主人公夫妻が夜の営みを行う際には黒字に白で「合体」の文字が出るのが定番である、
西田敏行主演の映画版も有名な、ビッグコミックオリジナル連載の長寿漫画は何でしょう？",釣りバカ日誌
音楽,"ボカロ曲『人マニア』のイントロでは独特な接続音がサンプリングされている。
電話回線を通じてインターネットに接続する手法を何と言うでしょう？",ダイヤルアップ接続
オリジナル,アメリカンフットボールで試合終了間際に劣勢のチームが逆転を狙って投じるパスのことで、極めて長い距離のハイリスク・ハイリターンなタッチダウンの成功率が非常に低いことから、「神頼み」という意味でラテン語の「アヴェ・マリア」を英訳した、この前見に行った映画のタイトルにも使われているのは何でしょう？,ヘイル・メアリー
ZAクイズ,1年の12ヶ月を英語で書いた時　スペルがAで始まる月はいくつでしょう？,2つ
芸能,"第8話ではレストランの従業員の役として特別出演している、
2001年のドラマ『HERO』で主題歌の
「Can You Keep A Secret?」を歌った歌手は誰でしょう?",宇多田ヒカル
ゲーム,"もともとは科挙において3つの試験すべてを首席で合格することをさした、
麻雀で「白」「發」「中」の字牌を3枚ずつ集めて完成する役満は何でしょう？",大三元
H,日本語では「電磁誘導加熱」正式名称は「インダクション・ヒーティング」主に火を使わない炊飯器や調理器に使われる略称は何でしょう？,IH
金,4月の誕生石であるダイヤモンドを日本語では何石というでしょう？,金剛石
金,公営ギャンブルや宝くじにおいて当選者がいなかったときに配当金を次回に持ち越すことを英語で何というでしょう？,キャリーオーバー
スポーツ,"ボクシングで、相手のパンチをかわすため素早く頭を下げることを、
水中に潜る水鳥に似ていることから何というでしょう？",ダッキング
H,化学式 C₄₀H₅₆ で表される、スイカやトマトに含まれる赤い色素は何でしょう？,リコピン
H,1837年に当初は馬具工房から始まった、現在はカバンや時計、香水などを販売し、フランスのパリに本社を置き、「H」から始まる高級ファッションブランドは何でしょう？,エルメス（HERMES）
H,分子式 C₁₀H₁₄N₂ で表される、タバコに含まれる有害なアルカロイドは何でしょう？,ニコチン
教育,"『華英通語』という中国語と英語の辞書にふりがなをふる際、
日本ではじめて「う」に濁点をつける「ヴ」の表記をした、
慶應義塾の創設で知られる明治期の教育者は誰でしょう？",福沢諭吉
金,家屋の借り主が立ち退く場合に返還される条件で貸し主に預けておく保証金の一種を何という？,敷金
H,酸性・アルカリ性などの水溶液の性質を表す単位を何というでしょう？,pH
H,"映像・音声・制御信号を1本のケーブルにまとめて送ることができる通信規格のことを指す、
「High-Definition Multimedia Interface」を略した名称を何というでしょう？",HDMI
